,Tweet,Emotions
0,"20,131 cases of #COVID19 in a day in India. Number of total cases - 5,29,577 out of which 16,103 (414 in a day) have lost their lives. The fatality rate is 3% whereas the recovery rate is 58.6%. 
Active cases in India - 2,03,328

#CoronaUpdatesInIndia #COVID19India",0
1,"#COVID19India #Covid19Karnataka #COVID19vaccine
Has anyone tried nebulizer and nebulization with Saline for covid??",0
2,"Virus comes out only on Sundays and at night 

#COVID19UG #Coronapalooza #COVIDIOTS #COVID19India #CoronaUpdates #Coronil #COVID #CoronaUpdatesInIndia #COVIDUpdates #Corona

Full lockdown on Sundays from July 5, night curfew to begin at 8 pm https://t.co/1vnI30VcRU",1
3,"#covid19india  status on 27.06.20
Highest no of cases in one day, 20,132. Total is 5,29,577. New deaths added is 414, total deaths is 16,103, fatality rate is 3.04%.  6,368 new case ( highest in 1day) added to Maharashtra bringing its total to 1,59,133. Total deaths -7273, 
1/3",0
4,"India records all time highest confirmed cases in one day. 20K+ that's a biggest spike ever.

#COVID19India #IndiaFightsCorona #COVID19 https://t.co/IoY1CroeJb",0
5,"#UPDATE : #coronavirus 

20,131 new cases and 414 new deaths in India 🇮🇳 🔼

Visit :-https://t.co/PU14yxxUkf

#India  #COVID19 #COVID19Pandemic #CoronaVirusUpdate #COVID19India  #news  

#follow us : Live News➡️ @Taproban 
#Taprobana https://t.co/d3tHq7jRlX",1
6,"@htTweets And we say all is safe and people must go to work! Thermal check, masks.....all is well. #SocialDistancing is the only prevention till a genuine cure arrives.
#bajajauto #COVID19India",0
7,"@TheVikasKhanna , celebrity Michelin Star Chef feeds 17 million poor Indians in the last three months during lockdown, all remotely managed from New York. Amazing work from an amazing person. #NewYork #COVID19 #COVID19India #lockdown #USA #India https://t.co/o73699rGyg",1
8,"No doubt, India is fighting with Corona Virus within and alongside the LAC, thanks to PRC (People's Republic of Corona) 
#PeoplesRepublicofCorona
#COVID19India 
#chinaindiaborder https://t.co/8O5gCFzKuq",1
9,"27th June - #COVID19India

📈 20,000+ new cases in a day, the new high for India.
📣 3L+ COVID19 infected have recovered.
📣 2L+ are active (63.5% of active cases are in MH, GJ, TN).
📣 MH, KA, TG, AP, KL, BR, PY reported their daily high of new cases.

#WearYourDamnMask 🙏 😷 🙏 https://t.co/wVPGH6xuJd",0
10,"India struggles as coronavirus cases top 500,000 mark.. #India #Covid19India #COVID #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID19 #COVID2019 #COVIDー19 https://t.co/1eSpRL9sTI",0
11,"I am just wondering where all the discussions of PDA's (Public display of affection)

Whether it should be allowed or not ??

There were continuous debates !!

However nature decided what's good for us 🙏

#coronavirusindia #COVID19India",1
12,"Amazing! Kudos to the Govt. 👏👏
#IndiaFightsCorona #India
#DelhiFightsCorona #Delhi
#COVID19 #COVID19India
{SearchTerms}

https://t.co/wyRGSZkKKS",1
13,"Ek crore
#COVID19India 
#COVID19 # https://t.co/oWS9ifTAJG",0
14,"Lesson for #India to combat #COVID19 effectively @narendramodi @PMOIndia @AmitShah @PIBHomeAffairs @MoHFW_INDIA @drharshvardhan @ICMRDELHI 
#COVID19India 👇 https://t.co/uLbtxgvxCH",1
15,Intelg. is 2 learn frm others mistakes #India been lucky to get time.But way cases spiking &amp; owing to popltn. same mistakes can lead to disaster. Gapped #lockdown for short phases till  effective cure/vaccine can save @narendramodi @AmitShah @MoHFW_INDIA #COVID19India @PIB_India https://t.co/j6B2kOUjAg,0
16,@aajtak UP Government is planning to call all primary teachers to school from 1st of July @HRDMinistry #Dr. R. P. Nisahank please take some action. When there are no students why to risk teacher's lives. #COVID19India #Do not open schools until everything is fine....,0
17,Equate Moisturizing Hand Sanitizer with Vitamin E from https://t.co/Drwwbj2Ivv #COVID19US  #COVID19India #COVID19 #Covid19UK  https://t.co/noGWK3cA9Y,1
18,"@mukherji_dibz @rishibagree Its not only bakree, suddenly a chunk fake sanghi news peddlers hv relatives in Delhi infected with #COVID19India &amp; charged the same bill amount. https://t.co/tbgO7kOzrB",0
19,"Today's status: 27 June 2020

#CoronaVirusUpdates  
#coronavirus
#COVIDー19  
#Corona
#COVID19  
#coronaupdatesindia 
#Covid_19india 
#COVID19India https://t.co/aQF9tPepYV",0
20,"Equate Hand Sanitizer with Aloe from https://t.co/Drwwbj2Ivv #COVID19US  #COVID19India #COVID19 #Covid19UK

https://t.co/oMZPHujmt5",1
21,"@DrChiragGoda @TajinderBagga @CMOMaharashtra @DGPMaharashtra @MumbaiPolice I am not against your concern, but LIFE must go on with #COVID19India. We can't deny this fact and our duties too.",0
22,"Today's status: 27 June 2020

#CoronaVirusUpdates  
#coronavirus
#COVIDー19  
#Corona
#COVID19  
#coronaupdatesindia 
#Covid_19india 
#COVID19India https://t.co/sMeqWFGHeo",0
23,"@drishtooo @shraddhadas43 @MeerraChopra 
#Exams2020 #COVID19India 
I had experience 😊😊😊😊😊 https://t.co/PtADbV2d4a",1
