coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Apr 28 10:19:21 +0000 2020,,,,0,1255079144859336705,,,,en,,,340,1255072377609781250,MattHancock,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MattHancock: At 11am today, let’s all stop for a minute’s silence to remember and pay tribute to all those NHS staff, key and critical…",https://twitter.com/Susemgf/status/1255079144859336705,Wed Jun 03 19:44:45 +0000 2009,Susemgf,false,"#Timeto25the45 #BLACKLIVESMATTER

LGBTQ ally
STAY AT HOME SAVE LIVES
Listen to EXPERTS NOT TRUMP
Stay safe & well wherever you are in the world",293164,6935,6916,35,"England, United Kingdom",Susan #NHSLove🌈,Susemgf,214561,,,false
,Tue Apr 28 19:47:56 +0000 2020,,,,0,1255222234018459648,,,,en,,,7,1255221479341527042,OHPediatricians,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @OHPediatricians: Thank you @GovMikeDeWine  and @DrAmyActon  for highlighting the importance of well-child visits at this time! Maintain…,https://twitter.com/cris_tomatisS/status/1255222234018459648,Wed Apr 15 19:42:00 +0000 2020,cris_tomatisS,false,pediatrician.IDspecialist.gilmoregirlsfan.oceanlover.usedtobeabookworm(motherof2),327,71,140,0,,Cristina Tomatis Souverbielle,cris_tomatisS,13,,,false
,Wed Apr 29 01:43:14 +0000 2020,,https://twitter.com/subwaysleepers/status/1255311649629749249/photo/1,,1,1255311649629749249,,,,en,"Irvine, CA",false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",omfg “plannedemic” these fucking conspiracy imbeciles who think covid is a hoax 🙄 https://t.co/NesJh6Ult5,https://twitter.com/subwaysleepers/status/1255311649629749249,Mon Aug 09 04:47:37 +0000 2010,subwaysleepers,false,"aaaaahhhh , and i can not stress this enough, haaaaahahaha",71686,269,1709,0,"Irvine, CA",Aidań,subwaysleepers,7771,,,false
,Tue Apr 28 10:10:10 +0000 2020,,,,1,1255076837593513984,officialffsnews,1255074956611707000,3148629685,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","That report published by ""Der Spiegel"" asks "" what will happen if a player, once footballer has restarted, tests positive for coronavirus?"" The answer is that if there is a positive, the player in question will be isolated and you can continue playing 😀",https://twitter.com/officialffsnews/status/1255076837593513984,Fri Apr 10 21:08:15 +0000 2015,officialffsnews,false,"- BACK UP ACCOUNT @FFS_ID
- EMAIL: footballfansstuffinfo@gmail.com
- YOUTUBE: https://t.co/7ryqQsPokA",0,28571,1,74,Indonesia,FOOTBALL FANS STUFF,officialffsnews,29026,,,false
,Wed Apr 29 00:21:33 +0000 2020,,,,0,1255291094612525056,,,,en,,,9530,1255239856667721734,funder,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @funder: Pence broke hospital protocol and didn’t wear a mask while on a tour today, so he should be removed immediately as the head of…",https://twitter.com/calvin4rollins/status/1255291094612525056,Sat Dec 21 01:31:43 +0000 2019,calvin4rollins,true,"Dungeons and Dragons, Science, Linguistics, other things probably. Husband. he/him.",4781,27,192,0,,Calvin Rollins,calvin4rollins,510,,,false
,Tue Apr 28 17:21:12 +0000 2020,,https://twitter.com/tatafo__tony/status/1255185307256963073/photo/1,https://warritatafo.com/covid-19-auto-crashes-killed-20-in-lagos-osun-even-during-lockdown-frsc/,0,1255185307256963073,,,,en,,false,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","COVID-19: Auto crashes killed 20 in Lagos, Osun even during lockdown – FRSC https://t.co/Wmfy393Pxy https://t.co/il0tqW7dLP",https://twitter.com/tatafo__tony/status/1255185307256963073,Wed May 02 23:30:17 +0000 2018,tatafo__tony,false,Official Twitter Page of Founder and Owner of Tatafo Empire . Visit our web 👉👉 https://t.co/mruXmjEv2X,317,2719,2818,0,Nigeria,Blogger Of The Whole World,tatafo__tony,41647,,http://www.warritatafo.com,false
,Wed Apr 29 01:07:51 +0000 2020,,,,0,1255302743931092993,,,,en,,,1557,1255294507622584321,bennyjohnson,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @bennyjohnson: YouTube is taking down videos that go against the @WHO.

This is the same organization that told us that Coronavirus wasn…",https://twitter.com/veganvecoh/status/1255302743931092993,Tue Sep 08 22:55:49 +0000 2015,veganvecoh,false,I'm PRO-Donald Trump. I believe in the American Dream. Protect our Freedom & Defend our Country. The decision we make today is what shapes our future. God Bless,173239,46060,3450,229,,Trump's Got My Vote,veganvecoh,291989,,https://www.donaldjtrump.com/,false
,Tue Apr 28 10:19:15 +0000 2020,,,https://twitter.com/Acosta/status/1254907252848373761,2,1255079119747985419,,,,en,"Hackensack, NJ",false,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","And, what, 60,000 or 70,000 deaths are supposed to be OK? No. It’s a massive failure of government; still no widespread testing available or vaccine in sight before end of year. @realDonaldTrump @CNN https://t.co/EsIkundrK6",https://twitter.com/vsasson/status/1255079119747985419,Wed Oct 06 01:49:32 +0000 2010,vsasson,false,"Retired newspaper reporter, edits Google blogs on food, news media and President Trump, Tesla and all-electric cars. #TheSassonReport",15794,157,205,3,"Hackensack, NJ","Victor E. Sasson, The Sasson Report",vsasson,11667,,,false
,Tue Apr 28 06:28:35 +0000 2020,,,,0,1255021070505127942,,,,en,,,301,1254818143492550657,elnathan_john,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @elnathan_john: I want to ask how vacuous, barely lucid, street thugs and idiots found their way into the presidency. But then I think o…",https://twitter.com/eastunltd/status/1255021070505127942,Mon Oct 15 18:40:21 +0000 2012,eastunltd,false,I WANT QUALITY FOLLOWERSHIP NOT QUANTITY ǁ Scientist & Christian ǁ AM NOT RESPONSIBLE FOR MY TWEETS/RETWEETS ǁ NOT HERE for your endorsement!,31787,1710,1656,0,ORILE/AJEGUNLE/OKOKOMAIKO,Africa's First Born®,eastunltd,42048,,,false
,Tue Apr 28 08:18:49 +0000 2020,,,,0,1255048815297597440,,,,en,,,1,1255045411812737024,geo_jbell,"<a href=""https://Eco1stArt.com"" rel=""nofollow"">Eco Promotions</a>",RT @juanbells: “We have the unique chance now to reconsider our choices and use the corona crisis as a catalyst for more sustainable means…,https://twitter.com/Eco1stArt/status/1255048815297597440,Wed Mar 24 19:23:21 +0000 2010,Eco1stArt,false,"Featuring the most stunning eco friendly items on the planet: fine art, furniture, jewelry & apparel.Connecting ecological & innovative artists worldwide.",233,2318,629,41,USA,Andrea,Eco1stArt,99280,,http://Eco1stArt.com,false
